Input Size	Execution Time
10    0.011100
10    0.010800
10    0.010900
10    0.010800
10    0.010800
10    0.010700
10    0.010700
10    0.010700
10    0.010600
10    0.010800
10    0.010900
10    0.010800
10    0.010700
10    0.010800
10    0.010800
10    0.010700
10    0.010900
10    0.010800
10    0.010700
10    0.010800
10    0.010700
10    0.010800
10    0.010800
10    0.010700
10    0.010800
100    0.120200
100    0.119900
100    0.119200
100    0.119700
100    0.119500
100    0.130000
100    0.143000
100    0.119400
100    0.119600
100    0.119300
100    0.119400
100    0.120000
100    0.130400
100    0.119500
100    0.119700
100    0.118800
100    0.119200
100    0.250300
100    0.129300
100    0.119300
100    0.191500
100    0.119600
100    0.407500
100    0.180100
100    0.119600
1000    2.355600
1000    1.286600
1000    1.502600
1000    1.260800
1000    1.245300
1000    1.248400
1000    1.252500
1000    1.900800
1000    1.242100
1000    1.246100
1000    1.309900
1000    1.233500
1000    1.246000
1000    1.231600
1000    1.237900
1000    1.474700
1000    1.233400
1000    1.232900
1000    1.273900
1000    1.234500
1000    1.239000
1000    1.241800
1000    1.235100
1000    1.401400
1000    1.277100

